category,definition,description,documentation,level,name,scope
Time Series,"ts_mean(x, d)",Calculates the simple average (mean) value of a variable x over the past d days.,/operators/ts_mean,ALL,ts_mean,['REGULAR']
Time Series,"ts_scale(x, d, constant = 0)","Scales a time series to a 0–1 range based on its minimum and maximum values over a specified period, with an optional constant shift.",/operators/ts_scale,ALL,ts_scale,['REGULAR']
Time Series,"ts_rank(x, d, constant = 0)","Ranks the value of a variable for each instrument over a specified number of past days, returning the rank of the current value (optionally adjusted by a constant). Useful for normalizing time-series data and highlighting relative performance over time.",/operators/ts_rank,ALL,ts_rank,['REGULAR']
Time Series,"ts_quantile(x,d, driver=""gaussian"" )",Calculates the ts_rank of the input and transforms it using the inverse cumulative distribution function (quantile function) of a specified probability distribution (default: Gaussian/normal). This helps to normalize or reshape the distribution of your data over a rolling window.,/operators/ts_quantile,ALL,ts_quantile,['REGULAR']
Time Series,"ts_arg_min(x, d)","Returns the number of days since the minimum value occurred in a time series over the past d days. If today's value is the minimum, returns 0; if it was yesterday, returns 1, and so on.",/operators/ts_arg_min,ALL,ts_arg_min,['REGULAR']
Time Series,"ts_regression(y, x, d, lag = 0, rettype = 0)",Returns various parameters related to regression function,/operators/ts_regression,ALL,ts_regression,['REGULAR']
Time Series,"kth_element(x, d, k, ignore=“NaN”)","Returns the K-th value from a time series by looking back over a specified number of (‘d’) days, with the option to ignore certain values. Commonly used for backfilling missing data.",/operators/kth_element,ALL,kth_element,['REGULAR']
Time Series,"ts_corr(x, y, d)","Calculates the Pearson correlation between two variables, x and y, over the past d days, showing how closely they move together.",/operators/ts_corr,ALL,ts_corr,['REGULAR']
Time Series,"ts_count_nans(x ,d)",Counts the number of missing (NaN) values in a data series over a specified number of days.,/operators/ts_count_nans,ALL,ts_count_nans,['REGULAR']
Time Series,"ts_covariance(y, x, d)","Calculates the covariance between two time-series variables, y and x, over the past d days. Useful for measuring how two variables move together within a specified historical window.",/operators/ts_covariance,ALL,ts_covariance,['REGULAR']
Time Series,"ts_decay_linear(x, d, dense = false)","Applies a linear decay to time-series data over a set number of days, smoothing the data by averaging recent values and reducing the impact of older or missing data.",/operators/ts_decay_linear,ALL,ts_decay_linear,['REGULAR']
Time Series,"ts_product(x, d)",Returns the product of the values of x over the past d days. Useful for calculating geometric means and compounding returns or growth rates.,/operators/ts_product,ALL,ts_product,['REGULAR']
Time Series,"ts_delay(x, d)",Returns the value of a variable x from d days ago. Use this operator to access historical data points by specifying the desired time lag in days.,/operators/ts_delay,ALL,ts_delay,['REGULAR']
Time Series,"ts_backfill(x,lookback = d, k=1)","Replaces missing (NaN) values in a time series with the most recent valid value from a specified lookback window, improving data coverage and reducing risk from missing data.",/operators/ts_backfill,ALL,ts_backfill,['REGULAR']
Time Series,"ts_av_diff(x, d)","Calculates the difference between a value and its mean over a specified period, ignoring NaN values in the mean calculation. In short, it returns x – ts_mean(x, d) with NaNs ignored.",/operators/ts_av_diff,ALL,ts_av_diff,['REGULAR']
Time Series,"hump(x, hump = 0.01)",Limits amount and magnitude of changes in input (thus reducing turnover),/operators/hump,ALL,hump,['REGULAR']
Time Series,"ts_arg_max(x, d)","Returns the number of days since the maximum value occurred in the last d days of a time series. If today's value is the maximum, returns 0; if it was yesterday, returns 1, and so on.",/operators/ts_arg_max,ALL,ts_arg_max,['REGULAR']
Time Series,"last_diff_value(x, d)",Returns the most recent value of x from the past d days that is different from the current value of x.,/operators/last_diff_value,ALL,last_diff_value,['REGULAR']
Time Series,ts_step(1),"Returns a counter of days, incrementing by one each day.",/operators/ts_step,ALL,ts_step,['REGULAR']
Time Series,"ts_delta(x, d)",Calculates the difference between a value and its delayed version over a specified period. Useful for measuring changes or momentum in time-series data.,/operators/ts_delta,ALL,ts_delta,['REGULAR']
Time Series,days_from_last_change(x),Calculates the number of days since the last change in the value of a given variable.,/operators/days_from_last_change,ALL,days_from_last_change,['REGULAR']
Cross Sectional,"winsorize(x, std=4)","Winsorize limits values in a data to within a specified number of standard deviations from the mean, reducing the impact of extreme outliers.",/operators/winsorize,ALL,winsorize,['REGULAR']
Cross Sectional,"normalize(x, useStd = false, limit = 0.0)","Centers a daily cross section by subtracting the market mean; optionally divide by the cross sectional standard deviation and clamp the result to [?limit, +limit]. NaNs are ignored in mean/std.",/operators/normalize,ALL,normalize,['REGULAR']
Cross Sectional,"quantile(x, driver = gaussian, sigma = 1.0)","Ranks and shifts a vector of Alpha values, then applies a chosen statistical distribution (gaussian, cauchy, or uniform) to reduce outliers. The sigma parameter controls the scale of the output.",/operators/quantile,ALL,quantile,['REGULAR']
Cross Sectional,"rank(x, rate=2)","Ranks the values of the input x among all instruments, returning numbers evenly spaced between 0.0 and 1.0. Useful for normalizing data and reducing the impact of outliers.",/operators/rank,ALL,rank,['REGULAR']
Cross Sectional,"scale(x, scale=1, longscale=1, shortscale=1)",Scales the input so that the sum of absolute values across all instruments equals a specified book size. Allows separate scaling for long and short positions using optional parameters.,/operators/scale,ALL,scale,['REGULAR']
Cross Sectional,zscore(x),Z-score is a numerical measurement that describes a value's relationship to the mean of a group of values. Z-score is measured in terms of standard deviations from the mean,/operators/zscore,ALL,zscore,['REGULAR']
Vector,vec_sum(x),Calculates the sum of all values in a vector field.,/operators/vec_sum,ALL,vec_sum,['REGULAR']
Vector,vec_avg(x),"Calculates the mean (average) of all elements in a vector field for each instrument and date, converting vector data to a single matrix value.",/operators/vec_avg,ALL,vec_avg,['REGULAR']
Transformational,"bucket(rank(x), range=“0, 1, 0.1”, skipBoth=False, NaNGroup=False)
or
bucket(rank(x), buckets = “2,5,6,7,10”, skipBoth=False, NaNGroup=False)","The bucket operator creates custom groups by dividing data into buckets (ranges) based on ranked values of any data field. These buckets can then be used with group operators like group_neutralize, group_rank, group_zscore etc.",/operators/bucket,ALL,bucket,['REGULAR']
Transformational,"trade_when(x, y, z)","The trade_when operator changes Alpha values only when a specific condition is met, keeps previous values otherwise, and can close positions by assigning NaN under an exit condition. It is useful for reducing turnover and controlling when trades are executed.",/operators/trade_when,ALL,trade_when,['REGULAR']
Group,"group_scale(x, group)","Normalizes values within each group to a range between 0 and 1, making data comparable across different groups.",/operators/group_scale,ALL,group_scale,['REGULAR']
Group,"group_neutralize(x, group)","Neutralizes Alpha values within each specified group by subtracting the group mean from each value. Groups can be industry, sector, country, or any custom grouping.",/operators/group_neutralize,ALL,group_neutralize,['REGULAR']
Group,"group_zscore(x, group)","Calculates the Z-score of each value within its group, showing how far each value is from the group mean in terms of standard deviations. Useful for comparing values relative to their group.",/operators/group_zscore,ALL,group_zscore,['REGULAR']
Group,"group_backfill(x, group, d, std = 4.0)","Fills missing (NaN) values for instruments within the same group by calculating a winsorized mean of all non-NaN values over the past d days. The winsorized mean is computed by trimming extreme values based on a specified standard deviation multiplier (std, default 4.0).",/operators/group_backfill,ALL,group_backfill,['REGULAR']
Group,"group_mean(x, weight, group)",Calculates the harmonic mean of a data field within each specified group.,/operators/group_mean,ALL,group_mean,['REGULAR']
Group,"group_rank(x, group)","Ranks each element within its group based on the input field, assigning a value between 0.0 and 1.0. This helps compare items within the same group, such as stocks in the same industry.",/operators/group_rank,ALL,group_rank,['REGULAR']
